博文内容,识别结果,id
",502803
去深圳吃海底捞喽欧耶 深圳·罗湖口岸(Luohu Port),"|0|0|0|0|0|
",506825
Hi， SZ. Long time no see~[可爱] 深圳·深圳福田高铁站,"|0|0|0|0|0|
",158
只有一种感受那就是恍如隔世[苦涩] ,"|0|0|0|0|0|
",574265
为下周的TNF50拉（徒）个练（步）九龙坑-鹤薮水塘-黄岭-八仙岭-大美督，重温一下赛道最后10k路况，17km 1200m爬升，晃悠下山吃个饭，巴士返大埔墟，溜达转东铁回福田，过关人不多，顺利收工[耶] ,"|0|0|0|0|0|
",502583
2023 3 4福田口岸-hk落马洲火车上[开学季]#pink# 香港·Hong Kong ,"|0|1|0|0|0|
",502830
港深双城生活be like #hdff的日常#                  茶百道 阿嬷手作 Manner 都跟我回香港吧[亲亲][亲亲] 深圳 ,"|0|0|0|0|0|
",502769
要喝到茶颜悦色了[哇] 深圳·深圳北站 ,"|0|0|0|0|0|
",702740
福田站15分钟高铁到达西九龙三年了…… 好“快”……超好的秩序感节奏感每个城市都有不同的“味道”对有些地方就是有种难以割舍的情怀以后会慢下来！体会……你好香港 香港,"|0|0|0|0|0|
",158199
深圳福田出发，一路向东 深圳·皇岗口岸  ,"|0|1|0|1|0|
",506804
3月1号下午05:20多分的时候，我朋友去罗湖口岸的中通快递门店，一共3个快递都成功下单了和被他们收走了。有2个是已经包装好的是衣服分别寄去广州和长沙，还有1个是没有包装好的2件衣服要寄去黑龙江，价值1600人民币。没有包装好的当场他们也有帮忙包装入箱并贴上贴纸，贴纸(运单号)另一半也有给我但我不见了 3号打算看看快递情况时就发现那1个黑龙江那个就在3月1号下午5点27时候取消了，就是在当天收件后没多久几分钟后就只有黑龙江那个被快递员取消了！！(其余2个快递都已经送到了！ 然后在3月3晚上9点多打了电话过去简单说明了情况并且加了微信说:货品已经收走了的寄去黑龙江比较久要3 4天，如果3 4天后收件人还没收到再找他们，如果不放心就明天(3月4号下午1 2点上班的时候帮我调监控，最后也没有调，我没有收到。 因为是成功下单、付款、收件，并且已经离开店铺后的几分钟就被他们取消订单了(当天没有立即发现)而且也没有通知我，由于被取消了订单那包裹有会被快递员拿走的可能性吗如果被拿走了正在送往的情况下为什么显示订单取消会不会货品还在门店他们就只有一个说法，说是调监控。有没有一种可能是快递被他们偷了因为我没有快递单号只有支付纪录和图2的图片纪录，有可能可以成功投诉吗#中通快递投诉##投诉中通快递##快递员偷走包裹里价值38万金条# @中通,"|0|0|0|0|1|
",502634
终于通关了，终于吃到了#东北烧烤[话题]#高铁坐到福田站，转11号线地铁，坐一站，到车公庙，下午五点开门，六点就已经满座了牛油、蚕蛹、大牛筋、大冷面，再喝一瓶大白梨——东北孩子的幸福感，谁能懂[偷笑R],"|0|1|0|1|0|
",156585
关于香港买唱片的tips这篇我写给那种一次带20张左右的人同时你选择离港的交通不是香港机场政策之前是一个人只能带20张同个内容的唱片不能超过5张如果你买的是全新未拆的唱片一定要注意数量如果数量过多入境的口岸千万不要选择蛇口这个口岸一定会严查 而且排队很久如果你没有行李箱大型行李最佳选择口岸是落马洲口岸这里的手提行李不用过机器检查其次是莲塘口岸这里的优势是人很少并且最近有巴士公司做活动20块rmb就可以从尖沙咀回深圳了但这里手提行李也要过机检如果是搭高铁离开是在香港上车前被询问检查只要冷静说清楚是个人物品通常会文明正常交还放行 香港·The Wave,"|0|0|0|1|0|
",457455
最終獨自一人扛下了所有，笑L人[允悲][哈哈],"|0|0|0|0|0|
",456939
心懷溫柔希望，一路抵達繁花勝景#摄影[超话]##随手拍##记录生活##遇见美好##手机拍照##照片##爱上这座城##ootd##赏花季# 深圳·福田口岸(Futian Port),"|0|1|0|0|0|
",506946
开关以后每天跟打仗一样，在深圳见两波友公司即将入职的新同事，饭刚吃到一半，北京投行客户临时到香港要签单，立马赶回香港文华东方给客户签单投行客户都特别重视重疾医疗保障，保额都配置很高[偷笑]快闪深圳打了个酱油，打工人不容易～话说能自由来去深圳的日子，好幸福请长久的幸福下去…#香港英国保诚保险# 香港·香港文华东方酒店,"|0|0|0|1|0|
",502877
好想读大学啊、、、[老师好],"|0|0|0|0|0|
",502665
计划7点半的高铁直达西九龙结果没起来继续睡到十点[爱你]然后地铁到福田过关[航天员]攻略没做好直接坐到了麦理浩径第二段的终点[爱你]从终点出发的时间差不多三点了注定是走不完整段行程啦不过风景很好下次再来[举手]以前只知道尖沙咀海港城旺角之类的市中心站点这次发现沙田也不错有山有水有商场[爱你]谢谢老板请客吃饭真的好贵[航天员]下次再战 香港·西贡东郊野公园,"|0|0|0|1|0|
",158247
马不停蹄就是吃和跟托尼掰扯还是有明显变化的莫名其妙浅漂过的发色被迫浅了好几度吃太撑 ,"|0|0|0|0|0|
",502529
看了一遍這個抄襲我的接單員的主頁，不論是帳號IP還是每條帖子IP都是身處ND，還好意思標榜自己是跨境車司機[笑哭R][笑哭R][笑哭R]一個天天身處ND 的接單員又如何能時刻掌控最新的通關動態呢[笑哭R][笑哭R]我雖然不是專職司機，但起碼自己也有兩地牌能天天往來掌握口岸的最新動態啊，包括HG今日有冇開檔或者幾點開檔我都是隨時告訴你們[笑哭R]所以service和專業就體現在此[笑哭R]希望大家擦亮眼睛做選擇大力抵制這些騙子???謝謝@香港-广东省内包车服务,"|0|0|0|1|0|
",120510
知道好多多友友也是从香港过去，而网上去场馆的资料不多，让我来给大家说说从香港去的方法吧！(时间和金钱都是预估的，谨供参考哦。会和朋友在3月8号去探探路，后续会更新实际方法，会实测高铁和深圳湾口岸。)1??高铁从香港西九龙站出发，该站在九龙站和柯士甸站中间。各位可通过两个方法去香港西九龙站。九龙站距离西九龙高铁站较远，需要于下车后穿过圆方商场，步行10分钟方能到达。而柯士甸C出口就是。在九龙站和柯士甸站有很多指示牌告诉你如何到地铁，所以不用担心会迷路。高铁+的士（深圳北站）共47mins ?114RMB(约131HKD)的士往西广场B1层?目的地2??福田口岸科苑站地铁+的士共67mins ?15RMB(约18HKD)已包的士费4号线往牛湖站?会展中心站（经2个站）1号线往机场东站?世界之窗站（经7个站）2号线往赤湾站?科苑站（经2个站）C出口?目的地（步行15mins左右/的士7mins?10RMB (约12HKD))后海站地铁+的士共58mins ?15RMB(约18HKD)已包的士费10号线往双拥站?岚厦北站（经3个站）11号线往碧头站?后海站（经4个站）D2出口?目的地（步行13mins/的士7mins?10RMB (约12HKD)）3?? 深圳湾口岸站的士共11mins ?13RMB(约15HKD)的士往的士上客区?目的地巴士共15mins ?20RMB(约23HKD)?深圳湾口岸A停车场站（步行4mins）A3巴士?深圳湾体育中心站（经1个站）?目的地（步行12mins）当然！3月8号会去实测的，所以我们会选择走路，如果当天走路结果是大于15-20分钟的话，建议友友们去打滴，音乐节是体力活，尽量不要在音乐节前就花光力气！请去蹲体育馆交通那帖子的后续。,"|0|0|0|1|0|
",121136
每天往返灣區生活自由繁華，香園圍蓮塘口岸六港幣超快捷絲滑。#不可辜负的美食##香港##我要上热门# 香港 ,"|0|0|0|0|0|
",502459
平常不怎么做梦，刚做了个噩梦，趁我还记得先记下来，我和一群人住进了一家洒店，那洒店居然建在福田口岸上面一夜20块。夜晚突然发生了什么恐怖事让我带着所有人跑了出去，我不知道是什么事但只知道和我们同行的一个人有问题，我也不知道那个有问题的人是谁。大部分人都跑出来了，只有一个人没出来(我不明白为什么那个人是我大学的一个不熟的同学，就是说过一句话加了个微信，但在朋友圈时不时有互动那种)。和我同房的只有一个，完全不认识但在梦境里我觉得他很熟的人(其他人是谁我已经忘记了)，我带着一堆人跑到了福田口岸外面的车用天桥底下(不是行人天桥)，然后就叫我和同房的那人点一下人数，看看还有谁没出来。他没搭理我，没办法，那我自己来了，我还没点，我的脑子就知道少了一个人，那人就是我上面提到过的人。然后我就想着算了我们先走了不理她了万一她就是有问题的人呢反正房费也就20，大不了之后才发现不是她给回她就好了。(好奇怪的逻辑什么鬼房钱不是先给的吗如果有问题人都死了还要钱干什么）然后我正想和我同房的人说「算了我们走吧不理她了，苟命重要」，他又没理我，之后又问了他一句「我们走吧」，他还是没理我。这个时候我是右边侧对着眺望着福田口岸，左后背对着那个人的，我就好奇这逼怎么不说话，我把头转过去的时候，这逼直接袭击我腰子，我才知道有问题的原来就是他。到这里这个梦还只是一个很普通且没有逻辑的噩梦。恐怖的来了，在他干我腰子的一刹那，我的手机在我腰子那疯狂响，我给吓醒了，我真的认为我腰子给人弄了。[跪了][跪了] 这是什么精神状态才会出现的梦境。[跪了][跪了],"|0|0|0|0|0|
",502668
备选方案+1[来]等着蹲一下发车时间和票价去深圳机场实在是太麻烦 ,"|0|0|0|1|0|
",457898
再坐几个站都能过关去深圳了 ,"|0|0|0|1|0|
",502719
[awsl][awsl][awsl][awsl][awsl]本周所有to-do list搞定,"|0|0|0|0|0|
",502697
图一，福田口岸的潮汕牛肉火锅，人均消费80。味道还可以，不过潮汕火锅去到当地吃会更好吃，牛肉鲜美。图二到九是之前去潮汕路边大排档吃的凯记牛肉。人均50～60就已经可以吃到撑，各个部位的牛肉都尝了。这家自己腌制的咸菜美味。 ,"|0|0|0|0|0|
",502677
再次打卡HKG｜MTR从福田口岸出境，港铁落马洲支线-红磡站，刚好遇上“马场站”区间车。偶遇当年MTR ktt 九广直通车，车仍在但已积灰。往红磡站，试搭“First class 头等车厢”，与普通舱差价只有HKD 4.00。虽然MTR已取消城际离港业务，红磡站内部轨道也重新建设，但依旧保留当年“城际（离港）”方向导向指引。 香港·紅磡站,"|0|0|0|0|0|
",502868
原来master也有门禁 只是门禁变成了福田口岸[闭嘴] ,"|0|1|0|0|0|
",502821
好想念小时候下午请假不去学校 和妈妈去香港吃好吃的的日子 小时候对香港的印象就是地铁好冷 一直都在商场逛没怎么下去过 经常逛的就是上水广场 还有福田口岸通关之后最最最最好吃的烧麦 每次回家都会在便利店买一本公主的童话书 好想回到小时候 ,"|0|0|0|1|0|
",502563
是我最喜欢的粤B[泪][泪] 深圳·罗湖口岸(Luohu Port) ,"|0|0|0|0|0|
",506777
[白眼]到深圳福田口岸的人已经看不起还在香港的人了,"|0|1|0|0|0|
",573512
不会有人去酒店的路都走错了吧[哈欠]@木有鱼丸粗面wo ,"|0|0|0|0|0|
",502557
#ohmnanon[超话]#2v10合照全过程1.上去的时候跟饼子说了Hi，小狗眼睛很亮，然后回了一句：Hi，饼子声音很可爱2.我坐在农农左边的左边，给农农看了红绿心，农农看到后抿嘴露出酒窝笑了，笑得很可爱3.下台的时候跟农农说了拜拜，农农也回了一句拜拜，我挥手太激动以至于没找到下台的台阶总结：他们都很可爱，脸很小，人在发光，很有礼貌，上台和下台都会跟我们打招呼和说拜拜，总之，炳南值得 深圳·深圳罗湖口岸,"|0|0|0|0|0|
",506925
#左左的香港生存日记# 你见过23:59正在关门的罗湖口岸吗升天的感觉 深圳·罗湖口岸(Luohu Port),"|0|0|0|1|0|
",506775
从莲塘口岸过真的nice只有美食能补充继续逛街的energy开关后去第三次了  开心hk,"|0|0|0|0|0|
",502550
HK，我的后花园，福田到西九龙只要十分钟高铁，爱你，港理工，爱你，港美食。。#宝宝的少女心#,"|0|0|0|0|0|
",158230
小超碎碎念不知道是最近太久没去“秘密基地”了还是每次都专注于在秋千上听完一首歌再回家今天才突然发现那条路的尽头那些红白相间的障碍物被撤走了也不知道是什么时候的事我笑了笑自己脑袋里不知道哪一根神经又把我带回了那个秋天（虽然它已经这么做过很多次了）但是好像也就那样吧或许也不是那么重要了最近随着香港通关和口罩令的解除罗湖口岸又回到了以前那般 令人不太舒适的热闹回家也是一如既往的快一切都是那么的熟悉似乎好像真的时光倒流回到了疫情之前的世界就好像一切都没有发生过一样,"|0|0|0|1|0|
",502889
過關返鄉明天去北京，在羅湖免稅店逛一下，見到茅台五糧液也不太便宜啊，加油加油大茅台[給力] ,"|0|0|0|1|0|
",502798
时隔3年重返HK代货[偷笑]尝试了新口岸 人少方便非常香去了熟悉的沙田 基本没啥变化只是大药店不在了[白眼]满足了喝奶茶的欲望和依旧好吃的百佳章鱼小丸子[哇]待下次去湾仔区淘东西[偷笑] ,"|0|0|0|0|0|
",502630
亲测：三个半小时可以从广州荔湾走口岸直铲香港沙田 无论罗湖还是福田 ,"|0|0|0|1|0|
",502662
bb今日饮咗下午茶未 深圳·福田口岸(Futian Port) ,"|0|1|0|0|0|
",506878
深圳河，一条与深圳同名的小河。跨过一座小桥，就是一国两制的另外一边。香港重新开放，但她已经深深融入大湾区。#深圳河竟然有这么多有趣的名字##樊哥论道# 深圳·福田口岸 ,"|0|0|0|0|0|
",506822
早去晚归，一日之间短暂访港。樊哥第一次乘坐广深港高铁，从西九龙高铁站出发，18分钟到深圳北高铁站，64分钟到广州南高铁站。大湾区所有城市是一家，大哥广州、二哥香港、三哥深圳、四哥东莞，还有一帮小兄弟。#樊哥论道##香港西九龙高铁站##广深港高铁# 香港·西九龙高铁站,"|0|0|0|0|0|
",456466
记录下周末周日去了福田口岸附近的汤崎。整体真的不错，很舒适环境很好，但是泡澡不能空腹，早上没吃饭泡完出来感觉眼前一黑。。中午川菜居然还挺香，感觉这个洗浴中心应该都可以用来商务宴请了。下午打了很久的switch ps5，饮品模仿幽兰拿铁[馋嘴]味道也不错晚上7点多瘫在懒人沙发上面下了一盘象棋。我这个臭手居然赢了[嘻嘻][嘻嘻]是谁菜不多说了[doge]一开始处于不利局面差点被双炮将死有多惨后面逆风翻盘就有多爽哈哈哈哈[彩虹屁][彩虹屁]之前老是输觉得自己菜。赢了就觉出象棋的好玩之处了。拱卒也是可以赢的！大晚上卡点过关，回到家快12点，还发了篇小红书，又熬夜了网咖里面有人在打游戏有人在投简历[二哈],"|0|0|0|1|0|
",502886
提前一周结果发现深圳北到hk的高铁票除了刚睡醒的时间之外都是候补的这个界面真是令人着迷………………什么时候能彻底恢复 [苦涩] ,"|0|0|0|1|0|
",502845
到底是哪个弱智想出来的异站换乘套票[微笑]妈的想鲨了它[微笑],"|0|0|0|0|1|
",502834
人來人往，找不到偶遇的人#週一快樂#,"|0|1|0|0|0|
",502842
昨天晚上5点多飞机到香港走前好在考虑的比较细，向香港航空申请了轮椅服务。一路从飞机下来就有机场人员推着轮椅等着了，一路从内部员工通道前进然后从单独的通道出海关，帮忙取行李最后一直把我送到机场边上的富豪酒店。一路挺顺的要不受伤的脚可受不了。三月十三号晚上老公酒喝高了不愿去遛熊宝，回来路上碰到两只小狗，熊宝控制不了自己冲了上去，结果把我带一下，脚一扭我就听到＂叭＂一声想着糟了脚扭伤了。想着6号要到香港只能好好在家养着，不想二十七号拍片检查骨折了，我倒霉的香港之旅，赶紧让毛毛把澳门和深圳酒店取消。因香港的酒店是在携程上定的退不了。而户口本又是女儿永居申请必不可少的材料，当时想顺风寄过去，但所需时间到不了，只有跑一趟香港了。但这次富豪酒店给我的印象极其糟糕房间设施太老了，淋浴根本无法淋浴，只要一开花洒就水漫金山，好在只住一晩上。早上7点不到女儿就发短信过来说已经到港了，宝贝状态还算正常，她赶着十点去办永居结果说人很多没办法当天办好，护照也没办法办。好在这次定的K 11的A R T U S酒店真的是无敌海景治愈坏心情。 http://t.cn/A6Ca8mdm,"分析博文内容，我们可以发现以下信息：

*   **交通拥堵**：没有提及道路拥堵或车辆滞留。
*   **人流量拥挤**：博文提到“人很多”，暗示人流量拥挤。
*   **空间布局混乱**：没有提及场所设计不合理或动线混乱。
*   **通关政策繁琐**：博文提到“护照也没办法办”，暗示通关政策可能繁琐。
*   **交通枢纽服务质量差**：博文提到“房间设施太老了，淋浴根本无法淋浴”，暗示酒店作为交通枢纽附近的服务设施质量差。

因此，根据以上分析，输出结果为：

|0|1|0|1|1|
",456605
 :4月1号u202e面全u202c恢复高铁服务～深圳香港18分钟广州香港44分钟长沙香港3小时30分钟武汉香港4小时30分钟上海香港7小时45分钟北京香港8小时45分钟,"|0|0|0|1|0|
",156716
Hong Kong 香港 ,"|0|0|0|0|0|
",573927
从罗湖过关回来的东铁上，喝多了酒的大叔对旁边一个姨姨动手动脚，被旁边一个好汉出手揍了。好耶（）,"|0|0|0|1|0|
",502816
我快累傻了。16点半从家出发，17点半到机场，19点的飞机飞深圳，22点落地，22：30上滴滴，23：20到罗湖口岸，23：30坐上东铁线，现在，00：32，终于终于，到香港的家了 ,"|1|0|0|1|0|
",502784
深圳福田停车攻略 暴走香港两日游:开关后 趁着广州现在天气凉爽 家属一有时间必定拉着他暴走香港广州距离很尴尬 我俩想省下高铁票钱 便开着车去了深圳车停在哪这个问题确实有点头疼找了停车黄牛 价格确实便宜 停车场位置也好 但是无法保证周末有车位思想向后翻遍了深圳罗湖福田各大商场决定停在福田cocopark二期（一定要二期）二期的地理位置不是很优越 但胜在价格便宜在cocopark可以搭乘地铁到达福田口岸我们停了一天多一点 花费40元 如图价钱仅供参考工作日和周末收费标准不一致 我们是周日和周一3年了 香港既熟悉又陌生一如既往找不到路 找不到公交一如既往舒服干净不得不说恢复自由后的生活美好但费钱[失望R],"|0|0|0|0|0|
",156532
香港人入境深圳罗湖口岸用八达通领取200元补贴的攻略，请收下[doge][doge][doge]#香港回内地# -#台湾或面临史上最久缺蛋荒#-#香港解封# ,"|0|0|0|1|0|
",502786
絲滑過關……這個新關多是老人、騎單車友，上上落落幾層樓，一般般…… 深圳·莲塘口岸,"|0|0|1|0|0|
",506801
坐上呢班車先感覺安心[二哈]東莞-虎門-深圳北站—西九。。。。。。開車[污]大獲了[衰][衰][衰][衰]位置係倒頭車[苦澀][苦澀][苦澀]我、我、會暈車浪[允悲][允悲][允悲][允悲]#冒个泡# 深圳·深圳北站 ,"|0|0|0|0|1|
",703792
今日去深圳看一下我新店的裝修 順便請工人吃飯裝修工人下午茶午飯我每日都是全包的[鼓掌] 你們拿拿 臨幫我裝修好間珠寶店靚靚仔仔如果在工期之前交貨的 我還有 一人一封大利是 深圳·罗湖口岸(Luohu Port) ,"|0|0|0|0|0|
",506810
久违的出差。换了心态，再简单的事情也会变得异常复杂 深圳·深圳宝安国际机场T3航站楼,"|0|0|0|0|0|
",314920
吵了一下午让他别来 还是说不过他 陪我回香港咯[哈哈] ,"|0|0|0|0|0|
",456323
久违的HK逛了铜锣湾吃了日料自助徒了南丫岛好久不见的心情可惜，两天没停下来工作会议 出数很不爽！还好有老友相伴倒也自在还有 高铁回来真香，10分钟就到福田公司楼下 ,"|0|0|0|0|0|
",158298
… 无语了… 我说怎么绕了半天没找到过关的地方，抬头一看原来下早了呀[允悲][允悲][笑cry] ,"|0|0|1|0|0|
",502852
222黄大仙—旺角— 尖沙咀 — 元朗b仔冲 香港 ,"|0|0|0|0|0|
",575456
我落泪情绪零碎,"|0|0|0|0|0|
",502511
摸鱼去深圳恰个饭放松下熬过三月 ,"|0|0|0|0|0|
",502588
香港西九龍坐高鐵到福田只要15分鐘到了深圳後馬上到華強北買手機殼?然後去采耳?晚上食酸菜魚，點了2人份也比香港食的的大很多，而且便宜。商場見到有賽車模擬器但沒有玩開開心心又一天#深圳#深圳旅游,"|0|0|0|0|0|
",156518
你知唔知，不用上班是真的很快乐。 ,"|0|0|0|0|0|
",457605
早上在香港过内地的关口，问入境处的职员，不是这儿有个ATM机的吗？干啥不见了？搬家了[允悲] 今日上深圳我身上只有16590港币，早上冲忙以为自己身上有25000 去完厕所數一下才想起来昨晚给了一万块钱买鱼糧了。怕不夠钱给店里工人，幸好昨天一过关就找小妹小妹问也不问就打了一万多给我说哥不夠再说[允悲] 我一返港就去了交行 拿了20万放家[允悲]限额20，000人民币及5000美元以内的携带款项。对于做生意的人来说经常不方便美元我就没有喇！能不能限额调节至50000譬如现在珠宝店装修装修费用杂费这个可不少啊！[允悲]现在香港去银行取款跟从前不一样。想预约拿1000万现金放家不知道手续费多少呢！企业汇款这个每1笔都有限额的，手续费比普通汇款贵一点点。企业汇款国内我记得这天我好像说汇一个亿到内地，第二银行告诉我要分几十笔我就真的纳闷了[黑線]做生意都这么难。,"|0|0|0|1|0|
",502518
杭州南京合肥武漢七日半  ,"|0|0|0|0|0|
",457783
从深圳福田高铁站到香港西九龙在哪里过关？需要什么证件？提前准备什么？要不要取高铁票,"|0|0|0|1|0|
",156656
落马洲—福田口岸，望鸡公岭诸山头，格外亲切呀！[微風][2023][嘻嘻] 香港·落马洲站(东铁线),"|0|0|0|1|0|
",502512
困但是不敢睡，想先查了下飞机之后怎么转车。你们有完没完了怎么天天罢工 ,"|0|0|0|0|1|
",457766
喜欢就够了，彼此心里待过就知足了，还能活在这世上就是万幸了，在不在一起真的没那么重要了。#喜欢和合适真的很难选择吗# 深圳·罗湖口岸出入境联检大楼 ,"|0|0|0|0|0|
",506968
深圳机场香港直通包车香港往返专业粤港澳跨境直通车，现在开始接单了：香港＜一深圳湾口岸香港＜一南山?福田 ?罗湖香港＜一深圳机场?深圳各区香港仁一东莞各区香港＜一广州市区/机场香港＜一佛山各区香港＜一港珠澳大桥＜一澳门香港＜一港珠澳大桥＜一珠海?中山,"|0|0|0|1|0|
",120535
鼠鼠我呀 是真的有点想鼠 深圳·深圳罗湖口岸 ,"|0|0|0|0|0|
",506834
无语无语又他妈的回来了 深圳·罗湖口岸(Luohu Port),"|0|1|0|1|0|
",506948
不懂为什么去新马泰越广州/深圳飞更便宜，考虑到广州深圳太折腾就放弃了但是日本机票己经恢复到covid之前啦！还能用掉我的rmb开心心爱香港，无论几点下了飞机就能直接回家家 ,"|0|0|0|0|0|
",457526
坐地铁从福田口岸丝滑过关，猫猫不错，内地物价真便宜，果然我已经被HK物价PUA了 ,"|0|0|0|0|0|
",502859
三年多了……我回來喇第一次蓮塘口岸過關，路路暢通喔！美食佳餚等著我,"|0|0|0|0|0|
",502509
翘课去深圳吹海风（x）去看柴鱼花深粥发疯（）-（下次不要走到人家面前再来一句“诶！修勾！”了 唔该晒@_柴鱼花深粥_,"|0|0|0|0|0|
",502493
香港去惠东399元港币2天团的团餐 #香港人分享内地旅游攻略#,"|0|0|0|0|0|
",502510
business trip.1比利时客户/ 香港分办经理/ 海外大区总监的背影真的好酷，行业精英即视感 实则确实是！他们都是在海运行业有着非常丰富经验的前辈；2某个街头，Like；3感觉有一天找不到工作了来香港当司机也是能赚得盆满钵金的，车价真的不要太离谱…还要给港币现金……；4为什么港币现金跟玩具的钱一样哈哈哈哈哈哈哈哈哈感觉好假而且图案竟然是随机的吗（；5早上在莲塘口岸坐巴士到油麻地下车的，然后打的到铜锣湾的酒店，fp已经在楼下等我和f，好想哭，怎么这么平易近人的前辈然后安排了去吃中午顿，类似点都德的茶点but我忘记名字了蛮好吃的都，味道都好正！不好意思拍照嘿嘿；6吃完饭坐车去湾仔客户的酒店喝咖啡，本来想跟f在窗边拍些照片；然后我猛一个抬头发现客户（因为之前没见过面just有视频开过会议过就那种认出来的感觉真的好奇妙），然后一起咖啡，4.聊到6.OMG的好能聊，真的要特别感谢fp的专业帮我招呼……过于专业我翻译不太过来都悔恨当初没有好好学英语；7接着就和客户一起散步去一家粤菜私厨吃完饭，真的太好吃了！！but我真的不好意思拍照，每上一道菜我就狠狠赞美一次；（图一就是散步的图由于太喜欢就放在第一张咯；8今日Look9with F.Happy women's day.     Girls can do anything.last but no least， 出门在外一定要带充电宝.特别是来香港，充电器是需要转换器的.♀不知道我哪里来的自信，充电宝不带就算了……充电器也不带.♀,"|0|0|0|0|0|
",502645
今天遇到一个很无情很凶的老师 死活不给我开证明[单身狗] 下课后俺的好同学们见我心情不太好就说带我去吃宵夜 思来想去没想到什么好吃的店 于是直奔深圳 在皇岗吃了木屋烧烤 好像确实很久没有吃烧烤了 也算是感受到了通关后的快乐吧 十几分钟过关 来回一个多小时 深圳确实还挺好玩的 我要去到腻为止[哈哈],"|0|0|0|1|0|
",502539
2023年3月7日星期二香港今天早上在酒店吃完自助早餐，到邮局把一箱子多余的衣服邮寄回家，天气太热了，深圳24°，一会就去香港了。天气也很热，厚衣服都不能穿，待着挺沉的，麻烦，还是轻松点好，然后坐地铁到深圳福田口岸出关，用港澳通行证放到闸机上，人脸识别，然后在指纹识别，顺利通过，都是自助的，简单方便，进入香港境内，有地铁，直接到我们住的酒店，旺角东地铁站，地铁票将近40元，香港酒店是下午三点开始入住，上午11点离店，中间时间要打扫客房，办完入住手续我看才2点，把行李寄存到服务台，出去溜达，不能耽误时间，让他们慢慢打扫， 香港·新世紀廣場,"|0|0|0|0|0|
",502548
早晨新人新氣象...[咖啡] 深圳·皇岗口岸,"|0|1|0|1|0|
",506937
丝滑过关～ 香港·福田口岸 ,"|0|0|0|0|0|
",506839
意料之中非常艰难的四年刚过去1/8（补个记录 香港·香港城市大学 ,"|0|0|0|0|0|
",456384
终于到香港啦！累呀…..  深圳·罗湖口岸(Luohu Port) ,"|0|1|0|1|0|
",506923
想找香港的模特拍人像，男女都可以[自拍R]手机拍的花絮视频先发交通：早上九点半的深圳北站坐高铁动车到香港西九龙站视频中的路线：大馆—半山扶梯—艺穗会—圣约翰大教堂—摩天轮?—油麻地警署—旺角#香港[话题]##手机拍照[话题]##香港拍照[话题]##香港掃街[话题]# #香港[话题]# #手机花絮[话题]# #富士相机[话题]##近期你已经去过香港了吗？[PK]#,"|0|0|0|0|0|
",120129
晨早與朋友從香港福田口岸過關，坐地鐵四號線來到上梅林行街，見到幸運牛這間店，被她掛在廚窗的牛肉吸引了，忍不住四個人來了牛肉火鍋放題，新鮮五花趾，手锤牛肉丸，吊龙伴嫩肉，匙柄，肥牛等通通吃一遍，好味！  深圳·幸运牛（汕头）小黄牛火锅(梅林店) ,"|0|1|0|1|0|
",502595
高質放題！ 超正！ [舔屏]  深圳·京基KK MALL 深圳·莲塘口岸 ,"|0|0|0|0|0|
",506761
小时候住在罗湖 印象最深的是金光华广场 不过实际上我到现在对深圳的记忆也只有罗湖口岸 金光华 金光华上面那条道 我以前的家 罗湖医院 还有我表姐舅舅舅妈以前的家 不过现在 没有一个地儿能想起来在哪 只记得表姐一家搬家了 罗湖医院还是满满的药水味儿 罗湖口岸好像翻新了 等我12号上去看看有什么不一样 以前的记忆就是罗湖口岸很有年代感 很多东西看起来很旧 又好像挺新的 金光华 我记得我三四岁的时候我爸妈带着我跟表姐一家去金光华放鞭炮 我爸说我怎么不跟旁边那群小孩儿玩 我说他们傻傻的 不想跟他们玩,"|0|0|0|0|1|
",502522
坐完高铁．找便捷換乘几个字·它会指示你怎么行去坐扶手电梯·扶手电梯一上去·就看右邊?见到便捷换乘几个字·入去·需要出閘·一出閘口就係深圳北站候車室·即刻找需要换乘高铁·不行錯路·很快的·重點來·切记不要坐电梯上（自己親身體驗過·又要落去月台）係坐扶手电梯出閘就正确了·,"|0|0|1|0|0|
",120326
周五啦！！下班了立马冲去福田口岸，香港我来啦！[打call] ,"|0|0|0|0|0|
",502621
莲塘口岸-香港，20元车费 #香港自由行# #真实的香港[超话]# ,"|0|0|0|0|0|
",502880
深圳到香港，最便宜的通关车票，只需要20元[团圆兔][团圆兔][团圆兔]#香港旅行# ,"|0|0|0|1|0|
",502638
今天通关的工作人员小哥，帅帅的，让我脱下口罩要核对hkid 的人像，犹豫了三秒：怎么跟照片长得不太一样。笑死我了[傻眼]Hkid难民身份证实锤  深圳·莲塘口岸 ,"|0|0|0|1|0|
",506902
#香港旅游[超话]#香港莲塘口岸  香港·皇后大道东,"|0|0|0|0|0|
