博文内容,识别结果,id
出来透透气 真他妈的累 我又没做错什么深圳·深圳湾公园 ,"|0|0|0|0|0|
",817919
红米K60随手拍，如何虽然硬件垃圾，但是不得不说，小米这几年的相机调的越来越好了[doge][doge][doge] 深圳·华侨城欢乐海岸 ,"|0|0|0|0|0|
",304508
#西多士乐队    [打call][打call][打call] 深圳·深圳世界之窗  ,"|0|0|0|0|0|
",8062
爽到了，谢谢深圳政府[舔屏][舔屏][舔屏],"|0|0|0|0|0|
",456003
有没有在深圳的港澳姐妹！:港澳人是免费去这些地方的，27号截止，圈出来的是比较想去的地方哈哈[萌萌哒R]打算25号先去一个，有没有一起的！,"|0|0|0|0|0|
",155692
靠背了深圳欢乐谷你太可以了看我明天来不来[羞嗒嗒] ,"|0|0|0|0|0|
",454576
又到左每次放假嘅难题，去边度睇人头[允悲] ,"|0|1|0|0|0|
",682989
 :2023.01.24初三以前只吹过你吹过的风，而今，想用一天走完三个月的路没想到，十张图，像是走过了三十年一个柱子，是你曾经的依靠，也因为你，而有了灵魂，让我仍然能感受到当初的余温过年的意义就是团聚，和自己喜欢的人团聚了，年，也就圆满了新年快乐，新年因你而快乐！,"|0|0|0|0|0|
",144070
- 我愛新疆菜 可惜沒吃到大盤雞 深圳·1001新疆菜(欢乐海岸店),"|0|0|0|0|0|
",304944
有没有明天一起去欢乐谷的姐妹啊:要是你是港澳居民更好了，免费去，去完欢乐谷还能去东部华侨城、世界之窗、锦绣中华逛逛（港澳居民都是免费哒！）,"|0|0|0|0|0|
",155667
是谁去欢乐谷玩了一天回家之后发现脸上充血长满红斑（可能因为好几个游玩项目都是长时间头朝地 我又在疯狂尖叫…不知道什么时候能消掉 [淚]最后一张图是排队的时候有小伙伴给我隔空投送的修狗 好乖[哇]这一次去欢乐谷和三年前的心情一样哎就是：欢乐谷真的能让人变欢乐（虽然第二天浑身酸痛 红斑没消 深圳·深圳欢乐谷,"|0|1|0|0|0|
",304888
港硕优势之我在深圳白嫖门票 深圳·深圳世界之窗,"|0|0|0|0|0|
",8137
逛深圳灣公園的時候在一旁的欄杆上休息，兩個女生在我面前玩煙花棒拍照，我剛好按下快門，很喜歡，但沒有傳給她們。#理光GR3x,"|0|0|0|0|0|
",160134
你走后我再也没去过的深圳湾公园，昨天有人去了，发了照片过来...想起有天夜里散步时遇到好多情侣，你忽然牵起我的手，我紧张到你松开也没说一个字，只是记忆模糊，我也不知道是真实发生还是只是我当时的渴望...班还是要上的，我好耐心给自己做了早饭，路上还是少车，天空也还是很美，温度是我喜欢的，今天事情也不少，你回去上海了吗....freen这条裤子好衬她，不能再看Freen了，她让我脑里一直叫嚣#srchafreen[超话]#,"|0|0|0|0|0|
",681682
梦见在旧火车站边上买票，售票的地方看起来是什么票都卖。姐姐哥哥带着我去排队，后面一群小孩和一个婆婆在大吵。我问姐姐我们是不是去世界之窗，姐姐说不是，我们去迪士尼看卢克天行者[允悲]后来哥哥排了另一队就先买完票往回走，到搬家前的院子边上说他看到有小偷爬围墙…… ,"|0|1|0|0|0|
",178636
大年初一深圳湾公园落日余晖,"|0|0|0|0|0|
",143737
在欢乐谷排队的一天，不过基本都玩到了 深圳·深圳欢乐谷  ,"|0|1|0|0|0|
",306036
#大年初五恭喜发财#转世界之窗烟花秀热闹的一个春节  ,"|0|1|0|0|0|
",178774
珍惜下短暂的广东ip这就回去受苦受累了连欢乐谷都告诉我：要格外努力才能拿到自己想要的东西,"|0|0|0|0|0|
",454553
我去深圳世界之窗以前，以为所有的建筑应该都挺大的，直到我看到了迷你迷你版伦敦塔桥。查尔斯看了会哭泣 深圳·深圳世界之窗,"|0|0|0|0|0|
",8088
带孩子们去世界之窗游玩时，花260元给孩子们请了个导游，把里面的建筑背景逐个介绍了一遍，孩子们还挺有兴趣的。如果世界之窗自己能安排上这个服务就好了，220元一张票也不便宜。我看了一下，大多数的孩子不是在等大人拍照，就是在配合大人拍照，这么好的学习机会和资源，浪费了还是挺可惜的。十五年前拍拖的时候，就常常打卡世界之窗，这些年里面的运营管理和设施没有多大变化。唯一变化比较明显的就是，自费项目越来越多了。每一个自费项目设施前，基本上都会有一个哭着非要玩的孩子和一对正在争执的父母。即使什么都不改，把门口的买票窗口优化一下也可以。过年人多的时候，排在当中的队，买完票就出不来了，没有专门的出口，要从人群中挤出来。,"|0|1|0|0|0|
",178559
每一条都看似正确（或许只是目的是正确的吧），但结构上冲突，甚至变态，甚至相互抵销。酱紫！ 深圳·深圳湾公园 ,"|0|0|0|0|0|
",693741
终于撤了铁马，不用排队进欢乐海岸了。[嘻嘻] ,"|0|0|0|0|0|
",681338
·· ‘’ 趕在晴天日落時 深圳·深圳湾公园 ,"|0|0|0|0|0|
",691145
开启一个月换证旅1顺风车司机搭配风格好舒服2深圳湾口岸搭个小巴士就到楼下3我的快充头找到转换头了4带小侄女去跳舞发现人家还在放年假5她说上厕所“卑我纸巾”她爸说她“麻鬼烦”6小侄女写给我的 好可爱呀7买菜8穿嫂子的羽绒服9拼公园的拼图,"|0|0|0|0|0|
",455429
记录几件过年期间发生的事。在深圳动物园洗手间排队的时候，刚好轮到我，两个人直接走到我前面，其中年纪较大的那位就抢先去上了。我问，怎么插队呢？剩下那位笑嘻嘻地对我说，她不是插队，是里面有认识的人，过去打个招呼。然后在世界之窗看节目表演的时候，有个男人牵着个孩子，直接从后面挤向前，站在点点前面，他背后的背包把点点的头都撞了一下。我提醒他后面有小孩，而且也不能这么无礼插队。他装作没听见，不理我。我非常爱深圳，年轻，活力，漂亮，但时不时总会遇到一些不开心的人。就像有一次停车，我刚停好，看到后面有个人直接停在旁边的过道上，我提醒她这样停别人的车一会出不去。她凶我关我什么事，她想怎么停就怎么停，我这么伟大，要不然把位置让给她？,"|0|1|0|0|0|
",454090
随便记录两件过年期间发生的事。在深圳动物园洗手间排队的时候，刚好轮到我，两个人直接走到我前面，其中年纪较大的那位就抢先去上了。我问，怎么插队呢剩下那位笑嘻嘻地对我说，她不是插队，是里面有认识的人，过去打个招呼。然后在世界之窗看节目表演的时候，有个男人牵着个孩子，直接从后面挤向前，站在点点前面，他背后的背包把点点的头都撞了一下。我提醒他后面有小孩，而且也不能这么无礼插队。他装作没听见，不理我。我非常爱深圳，年轻，活力，漂亮，但时不时总会遇到一些不开心的人。就像有一次停车，我刚停好，看到后面有个人直接停在旁边的过道上，我提醒她这样停别人的车一会出不去。她凶我关我什么事，她想怎么停就怎么停，我这么伟大，要不然把位置让给她我只能说，以上遭遇的这些问题，我都没有能力解决，在公众场合与这样的人发生争执，我也一定会更受伤。,"|0|1|0|0|0|
",682318
下班路上选9张照片发条微博/如果今天不给我下加班单我就辞职[融化]（不是 深圳·梧桐山 ,"|0|0|0|0|0|
",693257
深圳欢乐海岸是一个以海洋文化为主题，深圳市民周末溜娃、打卡、美食、创意好去处。@香港中国旅游出版社 @Go微博乐活大湾区 @微博旅游 @微博摄影 @带着微博去旅行 #深圳网红打卡点##深圳旅游##深圳旅游##深圳同城##粤港澳大湾区##欢乐海岸##深圳·深圳华侨城欢乐海岸[地点]# http://t.cn/A69mxepL ,"|0|0|0|0|0|
",378225
元宵花灯巡游，夜光舞狮，平安祈福，元宵专场晚会，还可免费领汤圆，元宵佳节，就来世界之窗一起团团圆圆吧！#深圳世界之窗# @深圳世界之窗 #元宵# ,"|0|0|0|0|0|
",377608
跟杨女士吹住海风叹雪糕#深圳湾公园,"|0|0|0|0|0|
",127078
农历新年去深圳欢乐海岸感受繁华城市自由生活，吃西冷牛排喝奶茶欢乐海岸广东省深圳市南山区沙河街道东方社区滨海大道2008号街道行走TARENTUM萄木南山区滨海大道欢乐海岸曲水湾23栋23-1A岩盐柠檬慢煎M5西冷可可香料咸奶茶#深圳·欢乐海岸[地点]# http://t.cn/A69ePrfF,"|0|0|0|0|0|
",376533
瞎逛的一下午。在西西弗看书。在深圳湾公园溜达。计划一下出去玩～ ,"|0|0|0|0|0|
",570053
海鸥在傍晚的海边开自由派对   深圳·深圳湾公园,"|0|0|0|0|0|
",820626
md最讨厌那些明知巴士里面人很多 没位置了还要把书包放在旁边的位置上[微風][哼]虽然我刚刚还是很礼貌的说了一句 唔该刚刚过完关啦塞车中[苦澀]#刚刚# 深圳·深圳湾公园 ,"|0|1|0|0|0|
",820157
从没想到世界之窗一日游是来看小动物开卡丁车和滑雪的竟然还觉得有一些超值[跪了] 深圳·深圳世界之窗,"|0|0|0|0|0|
",308184
卡丁车非常好玩，但世界上又少了一个想玩滑雪的人[兔子] 深圳·深圳世界之窗,"|0|0|0|0|0|
",2481
Day108深圳半日游 感觉身边充满了bkp和hk比 深圳就不美食荒漠了 连锁店就够用了重游锦绣中华 坐了海盗船 丢相机阴影消失了 竟然真的能想起十几年前的回忆万象更新 生活回到正轨 真好 真方便 ,"|0|0|0|0|0|
",379016
兩個娃一天和兩個姐姐和姨媽婆婆的相處[笑cry][笑cry]一早就開車一個多小時帶他們去梧桐山游玩[笑cry][笑cry]變得更開朗，更無拘無束[笑cry][笑cry]弟弟回來的時候更突然哭出來說不捨得姨媽，因為姨媽的，因為姨媽一天怕他弄受傷所以都抱著背著他走[允悲]更喜歡姨媽寬厚的肩膀[笑cry][笑cry]覺得親人間的感情真的很自然就流露了，不是那麼生疏。反而經常見的親人都沒有這份感覺[委屈][委屈]感謝老闆的大力支持，金錢2w送出[贊][贊]還帶和水果一堆上門[贊][贊]真心有點意外[作揖][作揖],"|0|0|0|0|0|
",686030
偶尔的来公园逛一圈，感觉还是挺好的。 深圳·深圳湾人才公园 ,"|0|0|0|0|0|
",222584
和他出去玩真的好开心喔～是真的发自内心的快乐！他总是会筹备好每一个要带我去玩的地点，知道我喜欢打卡咖啡厅就会做攻略找离深圳湾口岸最近的咖啡馆[抱一抱]接着再带我去深圳湾公园看落日与海鸥[举杠铃]最后再带我去欢乐海岸吃新疆菜！我还觉得情侣间找到共同爱好也很宝贵～比如我和他都很爱探小店，喜欢乐高这种小玩意，就会一起去逛乐高店各买一个一起回来拼！尊重对方的喜好也同样很重要[打call]比如他知道我很喜欢泡泡玛特，经过盲盒的自动贩卖机就会说给我买一个，同样的，我也会给他买他喜欢的车车模型据他所说是他的童年回忆哈哈！总而言之，情侣在我这最高的定义不仅是情侣，还是最好的玩伴和交心者[HO亲亲],"|0|0|0|0|0|
",379395
好久没来香港啦，这次过来要买买买,"|0|0|0|0|0|
",135635
图五作品名为《都市主人翁》，但我瞧他这巨大的背囊，失意的眼神，落寞的身姿，应该叫《都市揾工人》才对[喵喵] 深圳·深圳湾人才公园 ,"|0|0|0|0|0|
",222567
嘿！抬头周末愉快，元气满满 深圳·深圳湾人才公园,"|0|0|0|0|0|
",221901
祝大家情人节快乐～前天晚上在深圳湾公园拍到的一对高中生情侣，好羡慕[泪],"|0|0|0|0|0|
",688320
2.11 周六 阴 5点15分 深圳湾公园看日出 ,"|0|0|0|0|0|
",686916
才想起来昨天没发微博[doge]开学几周就忙到哭哭 虽然没有约会 但是这么多年的小作文仪式感真是从不缺席 以及竟然还保持着写游记的习惯[哆啦A梦吃惊]（此处仅截取深圳）不过也可以理解 毕竟某人科研最大的调剂就是看言情小说[开学季] ,"|0|0|0|0|0|
",380901
2023.02.16第一次和小林逛深圳湾公园，看到了很多星星。时隔多年，坐在一颗张开怀抱的树上。眼前的风景，呼吸的新鲜空气，温柔的海浪声，迎面吹来的冷风，夜空中的星星，让我的心平静了下来。 ,"根据您的要求，我对博文内容进行了分析，以下是结果：

| 交通拥堵 | 人流量拥挤 | 空间布局混乱 | 商品质量差 | 服务质量差 |
|---|---|---|---|---|
| 0 | 0 | 0 | 0 | 0 |
",686794
[哇]深圳一日游～通关啦！真的好方便骑了小黄车 逛了公园 又是吃喝玩乐 无忧无虑的一天～ ,"|0|0|0|0|0|
",687785
谢谢小红书！又被诈骗了！,"|0|0|0|0|0|
",685200
到达深圳最高峰，梧桐山～，深圳，太美腻啦，家人们还是看看远处的Hong Kong吧 ,"|0|0|0|0|0|
",688234
√夜爬梧桐山完成上山喘气，下山抖腿山好高，路好陡，风好大遗憾: 无日出 ,"|0|0|0|0|0|
",685488
想必广东的朋友都很熟“春捂秋冻，不生杂病”的俗语意思是劝大家春天不要急于脱掉棉衣秋天也不要刚见冷就穿太多 所以在深圳这个天气依旧穿着卫衣套装去深圳湾公园跑步纯色套装显得干净清爽人群中也一眼就能认出关键是宽松版型很透气跑起步来也舒适 好啦朋友们，今天下午维多利亚港继续约起来 #时尚穿搭# #ootd# 香港·維多利亞港,"|0|0|0|0|0|
",686517
#世界因你而美丽##宝丽金##蔡国权# 聽著慢步公園路！@口水佬文仔 深圳·深圳湾公园,"|0|0|0|0|0|
",696771
今日去咗深圳梧桐山玩咗一天，上到山頂，一望無際，心曠神怡,"|0|0|0|0|0|
",135029
@伊珂笑芽吖 到点了[泪]我供图，你开e 深圳·深圳湾人才公园 ,"|0|0|0|0|0|
",223780
地鐵很好人?公園內更多人！什麼各省人也有，那個男人在人野墊附近，抱起小女兒就大小便??很想嘔呀！這些人真的只顧自己不考慮別人，質素這麼差、自私又沒有文化?這種人拜托??不要來香港。,"|0|1|0|0|0|
",185470
悠然见南山。 深圳·深圳湾人才公园 ,"|0|0|0|0|0|
",220502
今天逛了立新湖公园赏花，赏树，、看湖景又看日落了依依不舍地离开这花海了之后逛了一会庙街地下商场，找吃，但没食慾乘地铁到世界之窗转公交回港了立新湖公园已经令我可以花了半天时间了那花海实在太美 #立新湖# #夜景# #深圳湾口岸# #随手拍#,"|0|0|0|0|0|
",379041
深圳好好玩 下次还来公园就不要去了 等来年再去#深圳湾公园# ,"|0|0|0|0|0|
",690579
在外快乐漂流的五天三地感觉广州好多神人，在越秀公园看到无数练功的大爷大妈，还有像在练五禽戏的（literally在地上扭曲地爬行），如果我是外国人真的会觉得中国人所有人都会功夫；广州地铁真的太挤了！顺德的美食说实话我觉得有点一般，但是清晖园是美的，感觉岭南建筑和江南园林也蛮像的。深圳只浅浅地逛了一下，看了深圳湾公园的海鸥和当代艺术馆，下次再来！开心！,"|0|1|0|0|0|
",689890
我做了这样的决定:时隔三年，今年过年终于回了滨海老家。 看到外公发来的信息，突然意识到自己和外公阿婆的联系太少了，所以决定开学后给他们分享我在深圳的生活。#深圳湾公园 #港中深 #大学生活 #落日晚霞 #见春天,"|0|0|0|0|0|
",56798
欢乐海岸好意思收140！！！！！滚出地球学学hk Observation Wheel三圈5-6人20港币！！！！！呵呵 所以本人现在浅爱自己戴口罩的素颜（别管了 根本没有因过关系,"|0|0|0|0|0|
",690751
草原来崔莲是去hk…………坐在深圳湾公园的咖啡厅里的我不知道摆什么表情好总之先往hk的方向看了一眼…………明天本来我也是完全有空的…… ,"|0|0|0|0|0|
",691514
即日来回太奔波劳碌了，下次过夜吧[允悲]#下次还敢# 深圳·华侨城欢乐海岸 ,"|0|0|0|0|0|
",824860
以前在南山住了五六年真的好喜欢后海、蛇口这边呀早上深圳湾过完关扫辆单车慢悠悠的骑去太古城吃个午餐，带儿子在附近剪了个头发朋友骑着电动车带着两娃去深圳湾公园我就去嘉华小吃买了粽子 海记盐焗鸡感受到久违的浓厚生活气息[两颗心R],"|0|0|0|0|0|
",55148
跟放小紅書深圳灣公園觀鳥  ,"|0|0|0|0|0|
",688920
#夜爬 #梧桐山 夜爬梧桐山27号晚集合凌晨12.30出发组队滴我,"|0|0|0|0|0|
",100531
#落日与晚风[话题]# #深圳湾公园[话题]#,"|0|0|0|0|0|
",99052
#看日出[话题]# #梧桐山[话题]#,"|0|0|0|0|0|
",55268
从梧桐山南地铁口出来跟着大部队走（晚上大路有保安看要走小路）12点出发2点走到蝴蝶谷（风吹得那个冷?）3点的时候山上下了点小雨（这下更冷了?）5点到山顶大石头等了半小时天亮出现超级云海云海出现概率下雨前一天，这个时间段率概大,"|0|0|0|0|0|
",101694
香港尖沙咀-深圳湾口岸出关:深圳出关的地方非常多，我是从柯士甸-龍宝宾馆大厦的侧门（旁边就是九龙公园）买票40人民币，一路到深圳湾口岸，出关很顺利且速度快，出关后距离机场40分钟路程，或者做地铁也可以到机场。如果没有7日内没有境外记录不需要核酸。中国香港,"|0|0|0|0|0|
",169458
小朋友过生日的仪式感满满这周的家长会搞定下班看到的日落，记录下美好[可爱]我小方送我的花花，把它养在了里，嘻嘻，昨天的马杀鸡十分舒适，所以我决定周日在！我的旧钱包光荣退休啦，发现很多杂七杂八的东西（有连续放了好多年的奶奶给我弄的护身符）[抱一抱]跟我的小朋友一起世界之窗[哈哈]她们就是群小吃货[举手]今晚不想坐于是打了车去口岸，司机路痴问我走哪里，差点想下车了，导航要来干嘛的！！！不过看到了晚上的文和友，真不戳[哇]过关喽～一天天真的是巨快呀,"|0|0|0|0|0|
",574238
別計劃了，想去的地方已經到達 香港·香港银矿湾度假酒店,"|0|0|0|0|0|
",574420
#博君一肖[超话]# #博君一肖# 出差深圳香港顺便带着啵比赞比打卡了战战去过的深圳湾公园和一博无名的取景参考地疲惫行程里的慰藉 好开心 香港·中環街市 ,"|0|0|0|0|0|
",573264
为同事的成功庆贺命是弱者借口，运乃强者谦词 深圳·深圳湾人才公园 ,"|0|0|0|0|0|
",314286
?#日落[话题]# #深圳湾公园[话题]#,"|0|0|0|0|0|
",143126
#深圳湾公园[话题]# #深圳日落[话题]# #日落[话题]# #vlog[话题]# #春天里的日落与黄昏[话题]#,"|0|0|0|0|0|
",120350
喜欢跑步的香港网友说：去深圳，不一定要吃吃喝喝，要试试跑步，很不错的！#香港人分享内地旅游攻略#,"|0|0|0|0|0|
",190550
梧桐山也太好爬了！！果然被驯服的山才好玩[打call]魔鬼carl直接带我跑山，一路上全是“丢！真么强的”chuachuachua就跑下去 三条黑影过去 只剩下我们的笑声这就是十七公里 两千九百多卡的快乐吧[666]深圳·梧桐山 #深圳梧桐山# 深圳·梧桐山,"|0|0|0|0|0|
",702771
深圳的写字楼贵吗位于深圳湾的深圳超级总部大楼，大约每平方米的售价是15万到17万，看官你觉得这个价格如何 深圳·深圳湾公园  ,"|0|0|0|0|0|
",702260
故乡的花开了，我该去见故人 深圳·深圳湾公园 ,"|0|0|0|0|0|
",703466
凑完图不容易[收到]虽然不是第一次去hk，但却是去hk纯逛。打卡之前就很想去但一直没去成的太平山顶，看日落。去了个和港剧里完全不一样的庙街第一次见识到一楼一凤（说好的夜市呢！扫黄组还不出来！）脑海里闪现戴安娜穿着黑丝出来放（对唔住jx）更震惊21世纪了，居然还有卖咸[哆啦A梦害怕],"|0|0|0|0|0|
",190503
在深圳湾公园的草坪上睡着，醒来发现羊和小耗都坐在我身边低头玩手机，小耗头上戴着我的帽子，我身上盖着羊的冲锋衣。好梦幻的时刻啊，仿佛十三岁从未走远。,"|0|0|0|0|0|
",575180
香港坚尼地城这海景比深圳湾公园好太多了，深圳湾公园的海感觉一直灰蒙蒙的  香港·坚尼地城海旁公园 ,"|0|0|0|0|0|
",573630
[awsl]  深圳·深圳湾公园运动公园,"|0|0|0|0|0|
",700831
气味图书馆的白色衬衫好好闻！甜品店没开去了一家很惬意的麻辣烫店我要被地铁绕晕了深圳湾公园是去看人头的 海鸥们在哪里??,"|0|1|1|0|0|
",121265
去[憧憬][憧憬]＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝xxxl桔子的笔记 #深圳周末去哪儿  #深圳周末做什么  #深圳世界之窗  #深圳遛娃好去处  #周末遛娃（分享自@小紅書）#小紅書精選#,"|0|0|0|0|0|
",190377
虽然太平山比梧桐山易爬，但太平山沿路风景还是很美的，不知道有没有路过李嘉诚的豪宅[喵喵]  香港·香港中環太平山山頂纜車 http://t.cn/A6Cp9RiC ,"|0|0|0|0|0|
",573498
每年春天固定项目…露营野餐[偷笑]  深圳·深圳湾公园,"|0|0|0|0|0|
",826481
3.18晚上十二点开始上山～有一起的嘛   ##深圳周末去哪儿#深圳梧桐山#深圳约一群小伙伴#梧桐山日出,"|0|0|0|0|0|
",39443
夸夸 拍照水平直线上升[爱你]两个只会摆剪刀手和竖大拇指的笨摩天轮真的好大！！！！！感觉半径有20m  佛山·华侨城欢乐海岸PLUS ,"|0|0|0|0|0|
",828497
#鹏城第一峰# 是日目标～梧桐山～登顶了！@Lo隊長  深圳·鹏城第一峰,"|0|0|0|0|0|
",695072
#深圳·深圳电视塔[地点]#  深圳·梧桐山电视塔 ,"|0|0|0|0|0|
",826582
双脚能到达的地方，就不要让心遗憾！#梧桐山##鹏城第一峰##好汉坡##十里杜鹃##深圳电视塔# http://t.cn/A6C8Y1q5,"|0|0|0|0|0|
",694109
#蝴蝶翅膀[话题]# #深圳湾公园[话题]#,"|0|0|0|0|0|
",116618
【港仔游深圳】深圳湾口岸附近2座商场 齐集港人最爱餐厅 + 最多靓女打卡商场！#深圳[超话]# #粤语[超话]# #深圳·深圳湾口岸[地点]# #深圳湾万象城[超话]# #深圳湾人才公园# http://t.cn/A6CRo1K3 ,"|0|0|0|0|0|
",386475
本来想去爬梧桐山的 结果累得中途直接过关天仁好好喝 为了打包错过末班车[微笑]现在还没回国呢 ,"|0|0|0|0|0|
",692649
不如梧桐山一根毛 ,"|0|0|0|0|0|
",694949
报复性刷山之香港：粉岭-蝴蝶山径-北大刀刃-大刀刃-林锦公路-梧桐山寨-大帽山（麦理浩径）-四方亭-铅矿凹（卫奕信径）-大埔墟，天气给力，完美[挤眼] ,"|0|0|0|0|0|
",692871
才三年而已 我已分不清欢乐海岸 海岸城 海上世界 益田假日 万象天地,"|0|0|1|0|0|
",693581
【孩子们要好吃的】多年好友，土生土长香港人，年少即游学欧洲的，郑润秋先生(他坚持让我叫他英文名Summer)，得知常有孩子光顾我的瓦屋，要零食吃；本月初，在我这儿，他还巧见了一回。他当即决定，回香港为孩子们选购食品。返港之后没几天，Summer又到梧桐山，递给我一袋东西，一种特好看的三层糖果，一大包，另有两款烘焙甜点，都产自葡萄牙。这些，我都分给了那些敲门而入的小馋猫们。他们非常喜欢。小巷里遇着，张开小嘴就嚷嚷，还要。上周六，Summer又来，交给我又一大袋，我一瞧，五颜六色，又全是外国儿童食品，很诱人，七老八十的看着都想尝尝吧。这些，都是我们童年所不曾获有的。可我们多爱孩子。尤其在中国，毕竟，孩子才有希望。别的什么玩意儿，就不说了，你最好提都别提。闭嘴。,"|0|0|0|0|0|
",115383
#梧桐山[话题]# #我的日常[话题]#,"博文：“#梧桐山[话题]# #我的日常[话题]#”
输出：`|0|0|0|0|0|`
",115296
土鳖进城记  啥啥看不懂  啥啥听不懂  香港,"|0|0|0|0|0|
",388175
周五啦周五啦我爱周五！更爱张张！ ,"|0|0|0|0|0|
",173458
