博文内容,识别结果,id
港真！翻嚟玩！香港通关专属福利来袭多家餐饮全单折重新春礼包积分兑礼过年欢聚尽在#领展中心城##深圳·领展中心城[地点]# http://t.cn/A69VzFIx ,"|0|0|0|0|0|
",864476
^ ^    深圳·摩打食堂(皇庭广场店) ,"`|0|0|0|0|0|`
",301144
吃饭开心心[打call] 深圳·炳胜品味(One Avenue卓悦中心) ,"|0|0|0|0|0|
",818271
回到陌生又熟悉的地方啦[打call]#熟悉的地方# 深圳·卓悦中心 ,"|0|0|0|0|0|
",302455
送迎香港老友深圳開心聚會 深圳·小炳胜(One Avenue卓悦中心) ,"|0|0|0|0|0|
",303121
我返深圳：150的天价核酸不能浪费[耶] ,"|0|0|0|0|0|
",454328
以后可以走商务风格喵[二哈] 深圳·皇庭广场 ,"|0|0|0|0|0|
",694432
兒子找到了絕佳的工作臺[色色R][点赞R][点赞R][点赞R]昨天第一次買了鮑師傅，幾年前去深圳海岸城那邊，就見到店前好多人排隊，盛名之下無虛士，今天打開嚐了一下，桃酥驚為天人，以我吃貨的口味來說，也是排得上號的[点赞R][点赞R]蝴蝶酥入口感覺不算特別，但後期口感香醇酥脆，也是很不錯的，確實是物美價廉，老爸買的，兩件好像是26元。,"|0|1|0|0|0|
",155648
几年没来深圳了，真的好多店倒闭，万幸coco park的大馥还在[泪],"|0|0|0|0|0|
",454524
[咖啡]蔡澜港式点心[咖啡]超多好评的山楂叉烧包过于甜腻不太喜欢陈皮乳鸽脆爽，好吃[馋嘴][馋嘴]牛腩煲又酸又辣，好酸爽其他菜也就麻麻地了总的来说，这家店性价比不算高#蔡澜港式点心# 深圳·蔡澜港式点心专门店(皇庭广场) ,"|0|0|0|0|0|
",304578
年初六 深圳财神展万象城coco park例牌又迟到 又是12点出发难得又吃到蔡澜 敲爱汤底水仙确实不错（没拍泽田本家购入101铜锣烧  好像有那么一dd踩雷宵夜又海底捞,"|0|0|0|0|0|
",454609
#流浪地球2自来水送票#  抽奖， 送两张明天深圳海岸城的票（路演场地， 但不是确认的路演场， 只是时间差不多， 也许可以试一下运气[doge]）在深圳又有兴趣的朋友转+评这条， 今晚十点半开奖，  直接发取票码给得奖者。  @微博抽奖平台 ,"|0|0|0|0|0|
",455520
打卡深圳的熊猫火锅店 深圳·金光华广场 ,"|0|0|0|0|0|
",693220
最後一天打卡好幾個商場[派对R]深圳福田卓悅中心深圳文和友KKmall皇庭廣場X11潮玩店蛙來噠木屋燒烤,"|0|0|0|0|0|
",143931
深圳兩日遊Day2:最後一天打卡好幾個商場[派对R]深圳福田卓悅中心深圳文和友KKmall皇庭廣場X11潮玩店蛙來噠木屋燒烤荃湾,"|0|0|0|0|0|
",155646
还是社会主义的空气香甜#社会主义好# 深圳·海岸城 ,"|0|0|0|0|0|
",304458
肥家～肥家 深圳·One Avenue卓悦中心 ,"|0|0|0|0|0|
",309667
呀咪~ 深圳·大无烧肉(One Avenue卓悦中心) ,"|0|0|0|0|0|
",309952
上次一起跳舞还是上次重庆！真的好快乐泪目今年达人秀节目有我们[举手][举手]山鸡记得下次和弟弟彩排一下double部分完善一下再上节目哈哈哈哈 深圳·深圳福田星河COCO Park  ,"|0|0|0|0|0|
",307429
2023/2/3系统错误没发出来回家的第四天想念我的大床我的爸爸我的妈妈我的姐姐[泪][泪]感觉哪哪都不舒服好想回家回香港后的第一晚失眠的很厉害那晚上眼睛尿尿鼻子便秘了[泪]好久没记录了新年基本都是在吃吃吃一个假期胖了十几斤太好了[可爱]开始减肥大年初二回老家祠堂拜祖先那天雾好大在我拿着香拜祖先的时候有一个东西在我旁边飞速移动蜇了口我的下巴，然后飞的很快走了我：……好痛，超级无敌痛我待在原地喊我妈我妈磨磨唧唧了很久才过来然后扒着我的头看“没事呀，什么东西啊”“痛什么哦都没事。”我被气晕过去了，我痛不痛难道我不知道吗[可爱]过了几十秒之后就开始红肿了我妈就开始大声传唤我爸了我爸带我去车边搓碱皂和吃过敏药幸好我爸车里备着不然指不定我要肿成什么样我那时候才知道原来我爸高蛋白质过敏[思考]（这几天脖子好痒，不知道是不是因为被蜇了[泪]）之后就回黄埠了在外婆家一直坐坐坐真的很无聊[微笑]不知道干什么不过终于看见传说中的悠悠和嫂子我表哥娶了老婆后都没见过看着我爸逗小孩讲真瑞幸的咖啡真的好好喝哦好喜欢[哇]回家喝的最多的就是瑞幸我喜欢喝的厚乳无糖没人喜欢喝那天家里请客吃饭的时候居然看见我堂哥买了一样的！知音难觅啊[泪]然后我还跟他说了他说好喝[泪]过年之后在家的饭就是鸡肉和剩菜[可爱]一家人去看满江红其实一般，噱头有点大昨天刚学的单词：hook，噱头，钩子[哇]请一家人吃泰国菜没拍菜就发个单吧[哈哈]姐姐第一次吃，吃完之后一直跟我说没想到泰国菜那么好吃爸爸那天也说姐姐吃的很多感觉选到家人喜欢吃的菜会很开心[哇]然后就是回香港了行李箱一般都是妈妈塞的食物[哈哈]满满的爱回去整理了下就打开吃了还温热的[哈哈]说回现在今天差点迟到起床的时候天罕见的很亮立马看了下手机“7:29”吓得我魂都飞了，我还不敢相信闹钟什么时候响过了[疑问]我怎么不知道啊飞速起床洗漱，只用了十分钟是不是可以破世界纪录了水都没喝一口就跑出门了明天生物课了 好久不见月饼了[抱一抱],"|0|0|0|0|0|
",378279
感觉和大家一起就是回到幸福的从前#i舞社至此改名i吃社# 一堆垃圾话废话文学大师也不知道说什么但一直在笑真的好热哈哈哈哈！真好每天网上念叨什么时候可以一起玩chcd终于浅浅短暂实现！上次重庆游居然已经两年了期待下次是@全体成员 一起玩！感谢深圳不约而同又见上就算是最后一波核酸也很值得[举手][举手] 深圳·深圳福田星河COCO Park,"|0|0|0|0|0|
",307812
小红书上刷到这个第一反应真的觉得有点搞笑[欢乐熊出没] 毕竟每每在港铁出站口见怪不怪 很普普通通的面包店 居然被大写Key出SZ首家 真的有点amazing[欢乐熊出没],"|0|0|0|0|0|
",377995
深圳海底撈，同美女一起闯關嘆美食[鮮花][鮮花][鮮花] 深圳·金光华广场  ,"|0|0|0|0|0|
",308720
[哈哈][哈哈]2年多 没踏足 深圳，路都忘记怎么走了。 广州 ,"|0|0|0|0|0|
",378356
深圳真好玩！ 深圳·深圳福田星河COCO Park,"|0|0|0|0|0|
",310436
准备明天ip一下深圳，东北麻辣烫 烧烤 阿嬷手作 coco park逛一下 ,"|0|0|0|0|0|
",377296
三年了！第一次回大陆的第一餐饭是湖南辣椒炒肉[嘻嘻] 深圳·深圳卓悦中心 ,"|0|0|0|0|0|
",307844
中午早茶晚上潮汕菜太幸福咧！！开心迎接考完的每一天 深圳·深圳福田星河COCO Park,"|0|0|0|0|0|
",308826
掂过碌蔗#深圳·皇庭广场[地点]##深圳·肥韬茶餐厅(皇庭旗舰店)[地点]# 深圳·皇庭广场 ,"|0|0|0|0|0|
",310169
三年了终于见上一面，通关第一个见面的必须是你们三年前的我们与三年后的我们变化大嗎还是一样美美哒永远爱你们#终于见面了##时隔三年终于能回家了# 深圳·金光华广场,"|0|0|0|0|0|
",307190
#鸡毛蒜皮# 我朋友前天一个人回深圳了。吃了我俩都爱的田鸡火锅，喝了喜茶，做了指甲。我能感受到她的兴奋。下下周，我和我妈准备去深圳先玩一天，找找感觉。 目前安排是：先吃田鸡火锅，再去做指甲，逛逛海岸城，再吃个潮汕牛肉火锅。打包点儿其他想吃的，回香港。,"|0|0|0|0|0|
",377692
三年了，終於再次經羅湖口岸過關返來啦！[悲傷][悲傷][悲傷] #日常碎片plog# 深圳·深圳罗湖金光华广场,"|0|0|0|0|0|
",307728
day 142下课就冲深圳啦吃了椰子鸡 汤竟然是甜的 一时有点接受不了鸡还是好吃的煲仔饭也好吃 好久没吃腊肠惹 美味椰汁也好喝！觉得比山姆的好喝多了小竹笋 祈福树（平安健康快乐回hk啦 深圳·深圳海岸城 ,"|0|0|0|0|0|
",222496
开关之后literally每一个杭抗打工仔的周末：坐高铁去皇庭广场吃饭逛街洗脚ktv,"|0|0|0|0|0|
",685548
碳水少女的笔记 深圳甜品探店 初代宇治抹茶(海岸城店) 炒鸡有氛围的日式甜品店 店员很热情很友善... （分享自@小紅書）#小紅書精選#http://t.cn/A6Cvu40Z ,"|0|0|0|0|0|
",381629
一日遊過關絲滑 吃的比hk便宜哇 要開闢吃喝新戰場了[饞嘴] 深圳·海岸城 ,"|0|0|0|0|0|
",221006
港村进城记原本还没那么想家为嘛待了一天sz疯狂想家[裂开] 深圳·One Avenue卓悦中心 ,"|0|0|0|0|0|
",696069
从香港溜到深圳剪头发立省300，社会主义好！ 深圳·卓悦中心 ,"|0|0|0|0|0|
",220898
闪现深圳-罗湖一日游*小酥肉我yyds 深圳·深圳罗湖金光华广场 ,"|0|0|0|0|0|
",695806
装了一肚子满足回HK[送花花]#元气满满的小胡啊# 深圳·深圳福田星河COCO Park ,"|0|0|0|0|0|
",221265
可以周六随意就去了一趟深圳喝奶茶吃火锅买肉包子回来当第二天早餐就很幸福嘎嘎布丁丁睡着之后真的是小天使呜呜,"|0|0|0|0|0|
",381323
深圳的空气都是快乐的[泪][泪][泪] 深圳·深圳福田星河COCO Park ,"|0|0|0|0|0|
",220412
#吃点猪食##没吃过好吃的# 深圳·金光华广场,"|0|0|0|0|0|
",223231
深港闪现一日游周末愉快捏[打call][打call][打call] 深圳·深圳福田星河COCO Park ,"|0|0|0|0|0|
",220554
带放假的小朋友去深圳过（办）节（证）[壞笑]，空空好久没来了，出门打车然后逛超市吃烤串，小朋友觉得好开心，尤其逛超市看到很多没吃过的零食各种买买买，再扫价格惊呼“好便宜”[笑cry]我看到一盒包装很精致的速溶咖啡，很想买来尝尝，但是价签没有写价格，空空不假思索脱口而出“买吧，肯定也不贵”，超市门口有泡泡玛特盲盒自助贩卖机，空空看着橱窗展示的眼神一看就是想要，我说你选吧我送你一个，我这么快就答应她是因为价格比香港大约便宜三分之一[哈哈]晚上还有大提琴课，溜达完就赶紧回香港了空空说没玩够，有空还要来[666],"|0|0|0|0|0|
",380337
情人節快樂~ 深圳·金光华广场 ,"|0|0|0|0|0|
",219972
我們終於在深圳見面了！今天聊得格外開心！#香港疫情##香港留学##香港工作##香港友邦##香港保险##香港##工作日记##香港友邦保险##香港[超话]##粤语##保险# 深圳·深圳海岸城 ,"|0|0|0|0|0|
",219983
我的恋爱日记4.0马上要跨国了 还是很不舍 小辉时隔两年的再一次牛排约会[哈哈]摄像头进水了还是得拍拍拍一下[可怜]为约会准备把头发梳成大人模样的小苏同学[爱你]悄悄讲（当我意识到自己不管什么样子在他眼里都很可爱这点真的好让人心动吼！）唔… 下一个阶段了！我要好好读书惹 冲冲冲！ 深圳·王品牛排(海岸城),"|0|0|0|0|0|
",221388
被小尾巴照顧的一天[挤眼] 深圳·深圳卓悦中心 ,"|0|0|0|0|0|
",219636
我永远喜欢椰子鸡！（hk根本没有好吃的椰子鸡，hk不行,"|0|0|0|0|0|
",687060
深圳快閃一日遊最後行咗去卓悅中心食午飯鱔糊火鴨炒粉皮烤鴨包蟹黃湯包美齡粥 ,"|0|0|0|0|0|
",379945
和sh一起去深圳啦半日游～吃了费大厨还有阿嬷手作的清补凉 好好味 深圳·深圳卓悦中心,"|0|0|0|0|0|
",222158
每周都回深圳！回家的感觉真好[害羞][偷笑] 深圳·金光华广场,"|0|0|0|0|0|
",697289
去了一趟深圳，回香港的时候哭唧唧。深圳饭好好吃，喜欢椰子鸡和潮汕牛肉粿条；打车好便宜，从口岸去我的快乐老家海岸城才19块钱；深圳的街道好干净，楼密度好低，人行道好宽。回到香港感觉阳寿被吸走。 ,"|0|0|0|0|0|
",380722
三日两夜 深圳·深圳福田星河COCO Park ,"|0|0|0|0|0|
",220036
#香港[超话]#去深圳海岸城吃吃吃#深圳海岸城#,"|0|0|0|0|0|
",379804
今天深圳的第一杯奶茶 深圳·金光华广场 ,"|0|0|0|0|0|
",695548
[团圆兔][2023]通关后的疯狂！也是放飞自我的开始！约啊！吃啊！一起长胖吧～～#美食分享##通关##深圳·深圳福田星河COCO Park[地点]# http://t.cn/A6CUwpj6,"|0|0|0|1|0|
",381396
今天放假，闖關去深圳走一走。[饞嘴] 深圳·深圳福田星河COCO Park,"|0|0|0|0|0|
",223184
酥皮水牛奶菠萝可以[太开心] 深圳·深圳海岸城,"|0|0|0|0|0|
",222623
酥皮水牛奶菠萝包 可以[太开心]   深圳·深圳海岸城,"|0|0|0|0|0|
",222332
#我行我摄[超话]##我行我摄#今晚試了雲南菜[馋嘴][馋嘴][馋嘴] 深圳·云海肴云南菜(金光华广场) ,"|0|0|0|0|0|
",223143
通关的快乐谁懂！！ 深圳·深圳海岸城 ,"|0|0|0|1|0|
",312173
來杯例湯……百分百推介奈雪榴槤餅跟食緊榴槤沒分別勁正#奈雪的茶[超话]##深圳生活##深圳生活通##三星galaxys22ultra##甜点# 深圳·深圳福田星河COCO Park ,"|0|0|0|0|0|
",312623
来了深圳，肯定要去海岸城逛逛。想想十几年前，一人一狗，每天散步的地方。刚搬到南山的时候，海岸城才刚刚开业呢。眼见着这个地方越来越繁华，到现在的略显萧条。可能深圳的网购真的太发达了，我感觉除了个别餐厅及奶茶店外，其他店都好少客人。本来想买杯喜茶喝，店员说只能自助下单，买单后才发现竟然要排队50分钟才可以以货，只得取消了。后面买了朋友介绍的丘大叔柠檬茶，还蛮好喝的。海岸城和海雅百货商场里面的店都特别少人，海雅百货应该离倒闭不远了。有点儿唏嘘！,"|0|1|0|0|0|
",383637
把两位大姐拍成这样 我真的很抱歉 但从香港过来朝圣一趟足以证明我对哈吗的爱 深圳·深圳福田星河COCO Park  ,"|0|0|0|0|0|
",313612
hello 阔别三年的大深圳老耶清凉补也太好喝了……怪不得要等两个小时 深圳·深圳福田星河COCO Park ,"|0|1|0|0|0|
",310641
#深圳生活# [二哈] 深圳·深圳福田星河COCO Park ,"|0|0|0|0|0|
",312236
#阿嬷手作# 終於可以去深圳喝奶茶了[打call] 深圳·金光华广场,"|0|0|0|0|0|
",311606
好天气适合喝咖啡晒太阳放空~ 深圳·卓悦中心,"|0|0|0|0|0|
",310523
通关真tm爽又便宜又好吃下次带个行李箱来采购 爽死 深圳·深圳福田星河COCO Park,"|0|0|0|0|0|
",311992
連中三雷[苦澀]好難食[允悲] 頂！ 千萬不要去，枱枱都追佢黎餸！服務又差，餸黎在又難食！ [苦澀] 雷到不得了 深圳·深圳福田星河COCO Park,"|0|0|0|1|1|
",311232
生活可能崩溃 可发疯 我可以应对 ,"|0|0|0|0|0|
",383456
响微訊填定健康碼，再用非觸式E道，由落馬洲落車到福田只係用咗10分鐘就過晒關，非常快又方便，我係中國人，這才是真正回鄉#2023-02-19 #上集,"|0|0|0|0|0|
",149518
#香港人分享内地旅游攻略# 深圳一日游，先去皇庭广场海粒抖食脆肉鲩火锅，D鲩鱼好新鲜，侍应服务超级好，坐得舒服，价钱又唔贵！跟住去楼上丘大叔，买杯网红鸭屎香柠檬茶，起码係用真柠檬，而且唔係用香港一般嘅红茶，另有一番风味。然后搭地铁去好耐无去过嘅东门，老街站搭地铁去罗湖，经过个地下商场，罗湖过关又係好多人，不过就好快。,"|0|1|0|0|0|
",383890
本來是想去吃珮姐的 太多人了 隨機挑選了一家 因為是和CDC的朋友一起吃 我和她兩個人無辣不歡 就沒點鴛鴦 但這個一點都不辣 不及珮姐三分之一 唉 下次錯峰去珮姐[悲伤] 深圳·深圳福田星河COCO Park ,"|0|1|0|0|0|
",311741
过度穿搭吸引同性：逛买手店，男sales问：“你穿的是julius吗”女sales问：“你喷的是le labo吗” 深圳·STUDIOUS TOKYO(One Avenue卓悦中心) ,"|0|0|0|0|0|
",825254
/点豆得招牌不错13点半到陶陶居告诉我前面还有60桌[汗]/杨枝甘露nice/阿嬷手作yyds/大梅沙回去差点颠亖[哈欠]/福田就是diao ,"|0|1|0|0|0|
",149491
又大一岁“要到绝望才望见希望在人间到了某天你我不再浪漫你会否便记起曾笑得这么灿烂” 深圳·深圳福田星河COCO Park ,"|0|0|0|0|0|
",313311
「心裏有了良人，眼裏便全是路人。該遇見的人躲不掉，該經歷的劫躲不開。人和人的相逢絕非偶然，都是命中注定。有些人教會你愛，有些人教會你成長，而有些人卻給你留下了一生的回憶與遺憾。有些風景只能喜歡，卻不能收藏，有些人只適合遇見，卻不適合久伴。」@ AndYu.cn 2023.2.28#彩云追月##怡景中心城##中心城##命中注定##爱##成长##回忆##遗憾##风景##喜欢##欣赏##收藏##遇见##久伴##时代广场##金中环##深圳##福田##AndYu##情感[超话]# 深圳·怡景中心城,"|0|0|0|0|0|
",824448
深圳南山区南海意库，日本炸猪扒冰淇淋松饼抹茶拿铁兰州牛肉拉面和魂汉菜广东省深圳市罗湖区解放路4068号名仕阁1层大里肌猪扒南海意库广东省深圳市南山区兴华路6号街道行走连城新天地深圳市福田区民田路138号深圳购物公园G街道行走中国兰州牛肉拉面(连城店)深圳市福田区福华路连城新天地二期C02号兰州牛肉拉面卤蛋#深圳·南海意库[地点]# http://t.cn/A6CfHTEe,"|0|0|0|0|0|
",689284
深圳遊Day 1一過左關超級興奮[哇][哇][哇][哇][哇]開心到跳起來~哈哈3年沒有踏足的地方，祖國是我的家鄉[嘻嘻][嘻嘻]東門~~平安中心~~CoCo park ~~中航城君尚购物中心~~艾豪丽晚餐(老公至愛)~~miniso 買了很多Kuromi產品[亲亲][亲亲][亲亲].....去了太多地方[笑cry]因為很久沒回來，每一樣事物都很新鮮還記得有些地方3年前是一個地盤轉眼間已是一座高樓大廈，一個新的商場我的電子錢包尚未完成！我希望快啲搞好[允悲][允悲],"|0|0|0|0|0|
",381861
深圳 - 領展中心城 LINK CentralWalk #粤港澳大湾区##深圳##深圳生活##带着微博去旅行#  ,"|0|0|0|0|0|
",690601
二月最后一天 小开心 走路去吃烤肉[努力] ,"|0|0|0|0|0|
",383153
深圳實在太好逛了，3年來第一次來～:真的是激動的心，顫抖的手，一句話也說不出口。#香港#深圳#皇庭廣場,"|0|0|0|0|0|
",55559
冲冲冲！让我顺顺利利度过这两周吧！球球了！[跪了] ,"|0|0|0|0|0|
",383067
皇庭广场真的是我在这个世界上最讨厌的商场[吐] ,"|0|0|1|0|0|
",689771
午间发癫时间 深圳·星河COCO Park ,"|0|0|0|0|0|
",313520
一看到深圳玩耍日程表就一边爽一边心疼钱包还要担心没有时间学习了 ,"|0|0|0|0|0|
",382944
午餐朋友帶我來試新店，主食都不錯，但那個松餅真的很失望建議改名叫「實餅」#午餐[超话]##每日一餐分享##美食分享##美食打卡##美食探店##我的美食日记##好好吃饭##随手拍##记录生活# 深圳·One Avenue卓悦中心,"|0|0|0|1|0|
",316582
我来深圳只做4件事： 深圳·深圳福田星河COCO Park ,"|0|0|0|0|0|
",314666
今天一位跨境学童露出了发际线岌岌可危的笑容深圳·海岸城 ,"|0|0|0|0|0|
",314079
先生~你家的床大不大，一个睡怕不怕！深圳·深圳福田星河COCO Park #日常碎片plog##mini版日常碎片plog# ,"|0|0|0|0|0|
",316459
【成团了，谢谢大家】深圳 《无名》3.18告别场 主办: 1823大湾区观影团来看#无名# 让我们好好说再见时间：3月18号 星期六 15点00分地点：#深圳# CGV影城（卓悦中心店) 福田区福田街道福华路348号卓悦中心西区放映模式：激光 I/ M/ A/ X：97/人 （全厅368个座位 限280张）**本场无需审核，可带亲友。**还有座，请看评论区。,"好好说再见时间：3月18号 星期六 15点00分地点：#深圳# CGV影城（卓悦中心店) 福田区福田街道福华路348号卓悦中心西区放映模式：激光 I/ M/ A/ X：97/人 （全厅368个座位 限280张）**本场无需审核，可带亲友。**还有座，请看评论区。
",158314
每周末例行回深圳[开学季]第一次二连超猩BP+BC 然后又在福田暴走  日消耗量创新高  但是穿着新买的Stongfeel仿佛有如神助[doge]打卡了萄木 味道但是分量着实有点小 （吃完又去吃了小吃哈哈哈）Coco Park的 M Stand 店里灯光背景好出片！,"|0|0|0|0|0|
",456771
有人来深圳玩我只会带去Coco park和老街哈哈哈哈哈哈哈 ,"|0|0|0|0|0|
",457768
放假就应该悠哉点～ 吃个下午茶再溜达下♂这中华龟六百块值不值 深圳·金光华广场 ,"|0|0|0|0|0|
",702859
開心的週末 深圳·金光华广场,"|0|0|0|0|0|
",314043
港深都市丽人双城生活体验卡 有点几年之前窜京津的感觉双城生活让人有种时空交错感两边的一些瞬间 都显得易逝 而更珍贵物理空间的变换 生理上的疲惫 都让人感觉时间过了好长 即使实际上只有一天而已（俗话版：HK现在人好多啊 好挤[笑cry]过关人好多队伍好长 好烦 SZ人也好多啊 福田深夜还热闹得很 cocopark的驻唱好好听 很带氛围！要喝啥等40分钟 不愧是CBD#春日好生活##周末美好计划# @微博生活 @微博新星 深圳·深圳福田星河COCO Park,"|0|1|0|1|0|
",316450
味道一般小贵[開學季]@薇啊薇啊啊  深圳·梨院LWON·77号食堂(深圳保利文化广场店),"|0|0|0|0|0|
",315809
味道一般小贵[開學季]@薇啊薇啊啊 深圳·梨院LWON·77号食堂(深圳保利文化广场店),"|0|0|0|0|0|
",315806
周一郁闷心情适宜吃椰子鸡补充能量[擠眼] 深圳·卓悦中心东区 ,"|0|0|0|0|0|
",315706
久違。 深圳·金光华广场,"|0|0|0|0|0|
",701419
愿你喺花旗国最近可以食到饱食到新鲜嘅竹子尽快能被接翻嚟故乡！ 深圳·乐高(星河COCO Park) ,"|0|0|0|0|0|
",317345
周二随手拍 深圳·One Avenue卓悦中心 ,"|0|0|0|0|0|
",702250
#樱萍Apple[超话]#【深圳路演通知】3月11日晚上6-9点，樱萍Apple将会在皇庭广场室内L2层中庭唱歌，这次是我自己的场，欢迎大家来打call哦！地点在会展中心C出口附近，具体地址当天会发在QQ群里通知，大家可以加入！QQ群：477514054,"|0|0|0|0|0|
",456149
IN ALL BLACK香港的對岸是 … 深圳·深圳海岸城,"|0|0|0|0|0|
",314046
潮汕菜yyds！！通关就是说走就走吧[打call] 深圳·深圳福田星河COCO Park,"|0|0|0|0|0|
",313881
 深圳·深圳海岸城,"|0|0|0|0|0|
",316550
肥韬港餐厅蛋包饭可以，所有牛肉太柴了报吃，黯然销魂饭就不会出错泰式炒面有点辣不错就是感受不到泰式风味蘑菇汤很奶油也很腻，喝苦瓜柠檬茶解腻最后来一串喜识的冰糖葫芦，香芋馅#我的美食日记##肥韬# 深圳·肥韬·香港金牌大饭店(皇庭广场旗舰店) ,"|0|0|0|1|0|
",316617
名嘴嘅點心超人氣 深圳·金光华广场 ,"|0|1|0|0|0|
",316654
#宝宝的少女心##今天也要开心# [打call][打call][打call] 深圳·金光华广场 ,"|0|0|0|0|0|
",314593
看见什么都想吃，能吃一头牛现在很想吃各种香喷喷的下饭菜昨日麦麦好想试试肯德基的芝士牛肉汉堡啊，吃不到啊！好想吃肉啊[酸] ,"|0|0|0|0|0|
",457596
一年半沒見的好姊妹，總有聊不完的話題[抱一抱]#随手拍##日常[超话]##今日份开心##闺蜜##少女心##记录生活##遇见美好#  深圳·AUVERS(One Avenue卓悦中心店) ,"|0|0|0|0|0|
",314788
流浪深圳3我等着你過來#傑克的沙雕情感天地[超话]#  深圳·皇庭广场 ,"|0|0|0|0|0|
",315431
每周去一次深圳改善伙食  深圳·海岸城,"|0|0|0|0|0|
",314880
上次去吃的那家椰子鸡听不成现场乐队表演这次特地来胡桃里好久没来了，记得yq 前胡桃里就已经很火了没想到现在还没被磨灭，还是那样热闹不愧是音乐餐厅的先驱[赞R]而且食物也没有怎么退步我们点了招牌烤鸡、牛蛙、宫保虾球、土豆丝、青瓜还有水果茶，两个人一共三百多，而且现在就是要先结账才能下单的模式[汗颜R]说回食物吧最好吃的还是烤鸡，鸡皮是烤成玻璃皮的状态[赞R]土豆丝的味道像“干炒牛河”[笑哭R]牛蛙有“谭仔味”[笑哭R]总体来说加上餐厅氛围感、现场乐队表演、今晚很多桌庆祝生日弄得很欢乐，还是没让我们失望的～?胡桃里地址：福华路领展中心城L1层RL1090A号铺?#深圳[话题]# #深圳周末去哪儿[话题]# #深圳周末做什么[话题]# #音乐现场[话题]# #乐队[话题]# #音乐餐厅酒吧[话题]# #胡桃里音乐酒馆[话题]# #深圳美食[话题]#,"|0|1|0|0|0|
",120252
我又回去探險了[哈哈][哈哈][哈哈]今天試了一家按摩，按腳力度不行，推背可以[哈哈]有人在附近嗎[憧憬]  深圳·金光华广场,"|0|0|0|0|0|
",316541
绿锤交接仪式 一年后终于见到老婆[泪][赞]牛油果茉酸奶终于喝到 通肠道[困]  深圳·深圳福田星河COCO Park,"|0|0|0|0|0|
",315336
出境来东湖公园露个营聚个餐  深圳·品也·原汤鲍鱼鸡(皇庭广场),"|0|0|0|0|0|
",316577
